x
1	GSM248785
2	GSM248788
3	GSM248790
4	GSM248791
5	GSM248795
6	GSM248797
7	GSM248801
8	GSM248802
9	GSM248805
10	GSM248806
11	GSM248808
12	GSM248809
13	GSM248812
14	GSM248815
15	GSM248817
16	GSM248819
17	GSM248822
18	GSM248825
19	GSM248827
20	GSM248829
21	GSM248831
22	GSM248833
23	GSM248838
24	GSM248844
25	GSM248845
26	GSM248846
27	GSM248847
28	GSM248848
29	GSM248849
30	GSM248850
31	GSM248851
32	GSM248854
33	GSM248856
34	GSM248857
35	GSM248859
36	GSM248860
37	GSM248862
38	GSM248863
39	GSM248864
40	GSM248866
41	GSM248867
42	GSM248868
43	GSM248874
44	GSM248884
